Bus_num,Bus_Code,Voltage_Mag,Angle_Deg,Load_MW,Load_Mvar,Gen_MW,Gen_Mvar,GenQmax,GenQmin,posQc_negQc,ansVolage_Mag,ansAngle_Deg,ansLoad_MW,ansLoad_Mvar,ansGen_MW,ansGen_Mvar,Injected_MVAR
3,0,1,0,22,17,0,0,0,0,0,0.998926172184731,-1.97611403223406,22,17,0,0,0
4,0,1,0,45,5,0,0,0,0,0,0.999491566546565,-4.19513645341479,45,5,0,0,0
1,1,1.03349539409855,0,0,0,0,0,0,0,0,1.03349539409855,0,0,0,83.5339093334805,-8.25625832306525,0
2,0,1,0,42,23,48,43,0,0,0,1.02712410278262,-5.09620901087572,42,23,48,43,0
3,0,1,0,48,23,0,0,0,0,0,0.99337699278398,-5.43407667795243,48,23,0,0,0
4,0,1,0,38,11,0,0,0,0,0,0.995555471328933,-7.07795074789341,38,11,0,0,0
1,1,1.04717164583501,0,0,0,0,0,0,0,0,1.04717164583501,0,0,0,44.4862557790643,-25.0006193999489,0
2,0,1,0,44,18,45,34,0,0,0,1.05843865909216,-1.35465248684456,44,18,45,34,0
3,0,1,0,23,20,0,0,0,0,0,1.04325636385855,-2.87255202449206,23,20,0,0,0
4,0,1,0,22,7,0,0,0,0,0,1.04538291079213,-3.56288284176378,22,7,0,0,0
1,1,1.04304489529722,0,0,0,0,0,0,0,0,1.04304489529722,0,0,0,84.6418629966181,-1.58180404586101,0
2,0,1,0,47,12,22,40,0,0,0,1.02329552202215,-4.50720923074311,47,12,22,40,0
3,0,1,0,26,25,0,0,0,0,0,1.01201350230587,-3.93106689921406,26,25,0,0,0
4,0,1,0,31,16,0,0,0,0,0,0.98931233028759,-6.90484204165046,31,16,0,0,0
1,1,1.08200090901672,0,0,0,0,0,0,0,0,1.08200090901672,0,0,0,56.0846687469976,-11.2671812873053,0
2,0,1,0,21,24,45,27,0,0,0,1.07869955581613,-0.87691521876818,21,24,45,27,0
3,0,1,0,38,13,0,0,0,0,0,1.07247873006059,-1.37403332410064,38,13,0,0,0
4,0,1,0,41,6,0,0,0,0,0,1.06187706140572,-3.08617667424553,41,6,0,0,0
1,1,1.07716521081005,0,0,0,0,0,0,0,0,1.07716521081005,0,0,0,46.641670127008,-26.5986173778066,0
2,0,1,0,20,13,32,40,0,0,0,1.10727563082644,-2.25592433245058,20,13,32,40,0
3,0,1,0,37,25,0,0,0,0,0,1.08127440598442,-2.94128554115946,37,25,0,0,0
4,0,1,0,21,8,0,0,0,0,0,1.09144939790208,-3.51698460913775,21,8,0,0,0
1,1,1.0887234337226,0,0,0,0,0,0,0,0,1.0887234337226,0,0,0,65.2980621308785,-6.8185982866348,0
2,0,1,0,24,24,47,39,0,0,0,1.09310059559299,-3.95769461941277,24,24,47,39,0
3,0,1,0,43,6,0,0,0,0,0,1.07522951160483,-5.7414768581442,43,6,0,0,0
4,0,1,0,44,18,0,0,0,0,0,1.06276036477283,-6.98861423189202,44,18,0,0,0
1,1,1.00465045039081,0,0,0,0,0,0,0,0,1.00465045039081,0,0,0,74.3335458527374,-30.703512547369,0
2,0,1,0,45,12,41,50,0,0,0,1.04823162445292,-4.61990338709085,45,12,41,50,0
3,0,1,0,35,21,0,0,0,0,0,1.00736514454437,-6.36507562626801,35,21,0,0,0
4,0,1,0,34,13,0,0,0,0,0,1.00600453005295,-7.13590471722635,34,13,0,0,0
1,1,1.04857704224582,0,0,0,0,0,0,0,0,1.04857704224582,0,0,0,63.8882722253126,-12.6516550371391,0
